entity_id,entity_type,home_location,usual_hour,base_ip,normal_resources,auth_methods,device_fingerprint,normal_commands
user_041,user,"Hyderabad, IN",13,10.73.40.113,crm | email | project_share,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_042,user,"Bengaluru, IN",18,10.210.141.77,analytics_dashboard | crm | project_share,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
user_043,user,"Mumbai, IN",16,10.40.69.73,employee_portal | email | project_share,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_044,user,"Hyderabad, IN",18,10.163.218.68,analytics_dashboard | email | crm,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_045,user,"Mumbai, IN",18,10.109.212.71,analytics_dashboard | project_share | email,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
svc_046,service_account,"Delhi, IN",18,10.68.41.190,api_gateway | backup_service | database_read,token | certificate,Linux-Server|service-agent,token_auth | api_read | api_write | logout
svc_047,service_account,"Bengaluru, IN",9,10.20.241.227,backup_service | telemetry_queue | database_read,token | certificate,Linux-Server|service-agent,token_auth | api_read | api_write | logout
svc_048,service_account,"New York, US",17,10.142.37.111,database_read | telemetry_queue | api_gateway,token | certificate,Linux-Server|service-agent,token_auth | api_read | api_write | logout
svc_049,service_account,"New York, US",8,10.231.91.54,database_read | api_gateway | backup_service,token | certificate,Linux-Server|service-agent,token_auth | api_read | api_write | logout
svc_050,service_account,"New York, US",16,10.227.223.105,database_read | telemetry_queue | api_gateway,token | certificate,Linux-Server|service-agent,token_auth | api_read | api_write | logout
svc_051,service_account,"Delhi, IN",14,10.7.45.189,database_read | api_gateway | telemetry_queue,token | certificate,Linux-Server|service-agent,token_auth | api_read | api_write | logout
svc_052,service_account,"London, UK",10,10.202.179.28,telemetry_queue | database_read | api_gateway,token | certificate,Linux-Server|service-agent,token_auth | api_read | api_write | logout
svc_053,service_account,"Hyderabad, IN",11,10.210.235.118,backup_service | api_gateway | database_read,token | certificate,Linux-Server|service-agent,token_auth | api_read | api_write | logout
svc_054,service_account,"Hyderabad, IN",8,10.169.49.103,telemetry_queue | database_read | api_gateway,token | certificate,Linux-Server|service-agent,token_auth | api_read | api_write | logout
svc_055,service_account,"London, UK",13,10.165.130.103,telemetry_queue | database_read | api_gateway,token | certificate,Linux-Server|service-agent,token_auth | api_read | api_write | logout
device_056,edge_device,"Delhi, IN",17,10.247.67.10,device_health | telemetry_endpoint | sensor_stream,certificate,EdgeOS-3.2|HTTPS|device,device_connect | telemetry_send | heartbeat
device_057,edge_device,"New York, US",14,10.156.130.30,telemetry_endpoint | device_health | firmware_status,certificate,EdgeOS-3.2|HTTPS|device,device_connect | telemetry_send | heartbeat
device_058,edge_device,"Bengaluru, IN",14,10.1.133.237,sensor_stream | device_health | telemetry_endpoint,certificate,EdgeOS-3.2|HTTPS|device,device_connect | telemetry_send | heartbeat
device_059,edge_device,"New York, US",17,10.81.169.218,firmware_status | sensor_stream | device_health,certificate,IoT-Linux-5.10|MQTT|device,device_connect | telemetry_send | heartbeat
device_060,edge_device,"Singapore, SG",13,10.104.178.76,telemetry_endpoint | device_health | firmware_status,certificate,EdgeOS-3.2|HTTPS|device,device_connect | telemetry_send | heartbeat
device_061,edge_device,"Delhi, IN",17,10.146.77.104,firmware_status | telemetry_endpoint | sensor_stream,certificate,EdgeOS-3.2|HTTPS|device,device_connect | telemetry_send | heartbeat
device_062,edge_device,"Singapore, SG",17,10.156.167.83,telemetry_endpoint | firmware_status | device_health,certificate,IoT-Linux-5.10|MQTT|device,device_connect | telemetry_send | heartbeat
device_063,edge_device,"Tokyo, JP",10,10.169.21.73,sensor_stream | firmware_status | device_health,certificate,IoT-Linux-5.10|MQTT|device,device_connect | telemetry_send | heartbeat
device_064,edge_device,"Hyderabad, IN",11,10.38.6.12,device_health | telemetry_endpoint | sensor_stream,certificate,EdgeOS-3.2|HTTPS|device,device_connect | telemetry_send | heartbeat
device_065,edge_device,"Singapore, SG",18,10.148.49.184,firmware_status | sensor_stream | telemetry_endpoint,certificate,EdgeOS-3.2|HTTPS|device,device_connect | telemetry_send | heartbeat
new_user_001,user,"Mumbai, IN",10,10.14.152.195,email | project_share | employee_portal,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
new_user_002,user,"Hyderabad, IN",17,10.249.201.4,email | project_share | employee_portal,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
new_user_003,user,"Hyderabad, IN",18,10.107.233.178,analytics_dashboard | email | crm,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
new_user_004,user,"Hyderabad, IN",17,10.5.147.10,email | project_share | employee_portal,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
new_user_005,user,"Mumbai, IN",16,10.241.13.183,employee_portal | email | project_share,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
