event_id,entity_id,entity_type,timestamp,source_ip,geo_location,geo_lat,geo_lon,resource_accessed,auth_method,auth_result,session_duration,command_sequence,device_fingerprint,bytes_transferred,protocol,label,is_anomaly,anomaly_type,attack_notes
evt_000014,user_002,user,2026-06-01 09:24:26,10.24.55.60,"Bengaluru, IN",12.9716,77.5946,employee_portal,token,success,45,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,199014,HTTPS,normal,0,none,Expected behavioural baseline
evt_000015,svc_049,service_account,2026-06-01 09:34:58,10.231.91.54,"New York, US",40.7128,-74.006,database_read,token,success,40,token_auth > api_read > api_write > logout,Linux-Server|service-agent,347159,HTTPS,normal,0,none,Expected behavioural baseline
evt_000016,user_035,user,2026-06-01 09:36:12,10.150.122.129,"Bengaluru, IN",12.9716,77.5946,analytics_dashboard,password,success,114,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,291814,HTTPS,normal,0,none,Expected behavioural baseline
evt_000017,user_034,user,2026-06-01 09:43:49,10.49.75.56,"Tokyo, JP",35.6762,139.65,project_share,token,success,22,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,268230,HTTPS,normal,0,none,Expected behavioural baseline
evt_000018,svc_054,service_account,2026-06-01 09:47:34,10.169.49.103,"Hyderabad, IN",17.385,78.4867,database_read,token,success,38,token_auth > api_read > api_write > logout,Linux-Server|service-agent,201068,HTTPS,normal,0,none,Expected behavioural baseline
evt_000019,user_036,user,2026-06-01 09:50:56,10.18.152.18,"Mumbai, IN",19.076,72.8777,analytics_dashboard,token,success,139,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,156557,HTTPS,normal,0,none,Expected behavioural baseline
evt_000020,svc_049,service_account,2026-06-01 10:08:21,10.231.91.54,"New York, US",40.7128,-74.006,backup_service,token,success,11,token_auth > api_read > api_write > logout,Linux-Server|service-agent,423659,HTTPS,normal,0,none,Expected behavioural baseline
evt_000021,user_027,user,2026-06-01 10:10:26,10.201.121.207,"Tokyo, JP",35.6762,139.65,email,token,success,91,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,344676,HTTPS,normal,0,none,Expected behavioural baseline
evt_000022,user_033,user,2026-06-01 10:12:15,10.238.200.201,"Singapore, SG",1.3521,103.8198,project_share,token,success,5,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,345882,HTTPS,normal,0,none,Expected behavioural baseline
evt_000023,user_029,user,2026-06-01 10:14:56,10.64.49.49,"New York, US",40.7128,-74.006,analytics_dashboard,token,success,79,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,165779,HTTPS,normal,0,none,Expected behavioural baseline
evt_000024,user_040,user,2026-06-01 10:17:41,10.138.54.130,"Mumbai, IN",19.076,72.8777,project_share,password,success,19,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,325906,HTTPS,normal,0,none,Expected behavioural baseline
evt_000025,user_023,user,2026-06-01 10:37:09,10.103.171.167,"Hyderabad, IN",17.385,78.4867,analytics_dashboard,password,success,151,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,205490,HTTPS,normal,0,none,Expected behavioural baseline
evt_000026,device_060,edge_device,2026-06-01 10:40:29,10.104.178.76,"Singapore, SG",1.3521,103.8198,telemetry_endpoint,certificate,success,128,device_connect > telemetry_send > heartbeat,EdgeOS-3.2|HTTPS|device,420948,HTTPS,normal,0,none,Expected behavioural baseline
evt_000027,user_015,user,2026-06-01 10:42:55,10.161.40.203,"Mumbai, IN",19.076,72.8777,project_share,token,success,73,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,15696,HTTPS,normal,0,none,Expected behavioural baseline
evt_000028,svc_053,service_account,2026-06-01 11:02:07,10.210.235.118,"Hyderabad, IN",17.385,78.4867,api_gateway,token,success,158,token_auth > api_read > api_write > logout,Linux-Server|service-agent,86828,HTTPS,normal,0,none,Expected behavioural baseline
evt_000029,user_027,user,2026-06-01 11:06:16,10.201.121.207,"Tokyo, JP",35.6762,139.65,crm,token,success,101,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,157692,HTTPS,normal,0,none,Expected behavioural baseline
evt_000030,user_024,user,2026-06-01 11:08:06,10.58.16.87,"Mumbai, IN",19.076,72.8777,project_share,token,success,62,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,94229,HTTPS,normal,0,none,Expected behavioural baseline
evt_000031,user_036,user,2026-06-01 11:11:45,10.18.152.18,"Mumbai, IN",19.076,72.8777,analytics_dashboard,password,success,139,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,321096,HTTPS,normal,0,none,Expected behavioural baseline
evt_000032,user_027,user,2026-06-01 11:12:00,10.201.121.207,"Tokyo, JP",35.6762,139.65,crm,token,success,89,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,54339,HTTPS,normal,0,none,Expected behavioural baseline
evt_000033,user_033,user,2026-06-01 11:16:44,10.238.200.201,"Singapore, SG",1.3521,103.8198,email,token,success,142,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,408590,HTTPS,normal,0,none,Expected behavioural baseline
evt_000034,user_025,user,2026-06-01 11:23:49,10.182.161.16,"Bengaluru, IN",12.9716,77.5946,email,password,success,92,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,102152,HTTPS,normal,0,none,Expected behavioural baseline
evt_000035,user_034,user,2026-06-01 11:43:59,10.49.75.56,"Tokyo, JP",35.6762,139.65,email,password,success,170,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,370733,HTTPS,normal,0,none,Expected behavioural baseline
evt_000036,svc_053,service_account,2026-06-01 11:44:53,10.210.235.118,"Hyderabad, IN",17.385,78.4867,api_gateway,certificate,success,87,token_auth > api_read > api_write > logout,Linux-Server|service-agent,44959,HTTPS,normal,0,none,Expected behavioural baseline
evt_000037,user_008,user,2026-06-01 11:44:56,10.117.162.214,"Singapore, SG",1.3521,103.8198,employee_portal,token,success,38,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,58848,HTTPS,normal,0,none,Expected behavioural baseline
evt_000038,user_003,user,2026-06-01 11:45:41,10.115.150.72,"Singapore, SG",1.3521,103.8198,employee_portal,password,success,40,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,25081,HTTPS,normal,0,none,Expected behavioural baseline
evt_000039,svc_054,service_account,2026-06-01 11:48:15,10.169.49.103,"Hyderabad, IN",17.385,78.4867,api_gateway,token,success,50,token_auth > api_read > api_write > logout,Linux-Server|service-agent,47695,HTTPS,normal,0,none,Expected behavioural baseline
evt_000040,device_063,edge_device,2026-06-01 11:51:53,10.169.21.73,"Tokyo, JP",35.6762,139.65,firmware_status,certificate,failure,0,device_connect > telemetry_send > heartbeat,IoT-Linux-5.10|MQTT|device,370799,HTTPS,normal,0,none,Expected behavioural baseline
evt_000041,user_004,user,2026-06-01 12:02:27,10.40.55.246,"New York, US",40.7128,-74.006,email,password,success,143,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,36591,HTTPS,normal,0,none,Expected behavioural baseline
evt_000042,user_019,user,2026-06-01 12:14:01,10.96.195.42,"Hyderabad, IN",17.385,78.4867,project_share,password,success,84,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,128939,HTTPS,normal,0,none,Expected behavioural baseline
evt_000043,svc_053,service_account,2026-06-01 12:19:03,10.210.235.118,"Hyderabad, IN",17.385,78.4867,database_read,certificate,success,107,token_auth > api_read > api_write > logout,Linux-Server|service-agent,81962,HTTPS,normal,0,none,Expected behavioural baseline
evt_000044,user_027,user,2026-06-01 12:21:53,10.201.121.207,"Tokyo, JP",35.6762,139.65,crm,token,success,48,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,479860,HTTPS,normal,0,none,Expected behavioural baseline
evt_000045,user_028,user,2026-06-01 12:47:02,10.109.105.120,"Singapore, SG",1.3521,103.8198,employee_portal,token,success,138,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,251525,HTTPS,normal,0,none,Expected behavioural baseline
evt_000046,user_038,user,2026-06-01 12:48:14,10.53.171.184,"New York, US",40.7128,-74.006,employee_portal,password,success,175,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,451802,HTTPS,normal,0,none,Expected behavioural baseline
evt_000047,user_010,user,2026-06-01 12:51:05,10.119.97.70,"Hyderabad, IN",17.385,78.4867,employee_portal,token,success,158,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,233263,HTTPS,normal,0,none,Expected behavioural baseline
evt_000048,user_028,user,2026-06-01 13:19:56,10.109.105.120,"Singapore, SG",1.3521,103.8198,employee_portal,password,success,150,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,399185,HTTPS,normal,0,none,Expected behavioural baseline
evt_000049,user_030,user,2026-06-01 13:28:26,10.119.63.224,"Delhi, IN",28.6139,77.209,employee_portal,password,success,110,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,102547,HTTPS,normal,0,none,Expected behavioural baseline
evt_000050,user_004,user,2026-06-01 13:29:15,10.40.55.246,"New York, US",40.7128,-74.006,employee_portal,token,success,17,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,31497,HTTPS,normal,0,none,Expected behavioural baseline
evt_000051,user_033,user,2026-06-01 13:29:26,10.238.200.201,"Singapore, SG",1.3521,103.8198,employee_portal,password,success,152,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,475500,HTTPS,normal,0,none,Expected behavioural baseline
evt_000052,device_057,edge_device,2026-06-01 13:31:51,10.156.130.30,"New York, US",40.7128,-74.006,telemetry_endpoint,certificate,success,38,device_connect > telemetry_send > heartbeat,EdgeOS-3.2|HTTPS|device,203988,HTTPS,normal,0,none,Expected behavioural baseline
evt_000053,user_038,user,2026-06-01 13:38:18,10.53.171.184,"New York, US",40.7128,-74.006,project_share,password,success,19,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,379506,HTTPS,normal,0,none,Expected behavioural baseline
evt_000054,svc_051,service_account,2026-06-01 13:38:49,10.7.45.189,"Delhi, IN",28.6139,77.209,database_read,certificate,success,56,token_auth > api_read > api_write > logout,Linux-Server|service-agent,307886,HTTPS,normal,0,none,Expected behavioural baseline
evt_000055,user_036,user,2026-06-01 13:41:21,10.18.152.18,"Mumbai, IN",19.076,72.8777,email,password,success,85,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,456939,HTTPS,normal,0,none,Expected behavioural baseline
evt_000056,user_008,user,2026-06-01 13:52:05,10.117.162.214,"Singapore, SG",1.3521,103.8198,project_share,token,success,135,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,299824,HTTPS,normal,0,none,Expected behavioural baseline
evt_000057,device_060,edge_device,2026-06-01 13:55:39,10.104.178.76,"Singapore, SG",1.3521,103.8198,device_health,certificate,success,56,device_connect > telemetry_send > heartbeat,EdgeOS-3.2|HTTPS|device,322016,HTTPS,normal,0,none,Expected behavioural baseline
evt_000058,user_018,user,2026-06-01 14:21:53,10.196.45.130,"London, UK",51.5072,-0.1276,email,password,success,32,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,253290,HTTPS,normal,0,none,Expected behavioural baseline
evt_000059,user_032,user,2026-06-01 14:27:50,10.55.221.103,"Tokyo, JP",35.6762,139.65,analytics_dashboard,password,success,58,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,31213,HTTPS,normal,0,none,Expected behavioural baseline
evt_000060,user_028,user,2026-06-01 14:28:20,10.109.105.120,"Singapore, SG",1.3521,103.8198,email,password,success,157,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,63554,HTTPS,normal,0,none,Expected behavioural baseline
evt_000061,user_004,user,2026-06-01 14:31:56,10.40.55.246,"New York, US",40.7128,-74.006,crm,token,success,169,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,163384,HTTPS,normal,0,none,Expected behavioural baseline
evt_000062,user_006,user,2026-06-01 14:37:14,10.21.141.76,"Mumbai, IN",19.076,72.8777,analytics_dashboard,token,success,7,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,9227,HTTPS,normal,0,none,Expected behavioural baseline
evt_000063,user_005,user,2026-06-01 14:47:33,10.217.88.155,"Mumbai, IN",19.076,72.8777,project_share,password,success,119,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,201146,HTTPS,normal,0,none,Expected behavioural baseline
evt_000064,user_006,user,2026-06-01 14:48:45,10.21.141.76,"Mumbai, IN",19.076,72.8777,crm,password,success,142,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,103020,HTTPS,normal,0,none,Expected behavioural baseline
evt_000065,user_038,user,2026-06-01 14:52:00,10.53.171.184,"New York, US",40.7128,-74.006,project_share,token,success,174,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,66763,HTTPS,normal,0,none,Expected behavioural baseline
evt_000066,user_006,user,2026-06-01 14:53:44,10.21.141.76,"Mumbai, IN",19.076,72.8777,crm,token,success,5,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,402897,HTTPS,normal,0,none,Expected behavioural baseline
evt_000067,user_043,user,2026-06-01 14:56:51,10.40.69.73,"Mumbai, IN",19.076,72.8777,employee_portal,password,success,85,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,102480,HTTPS,normal,0,none,Expected behavioural baseline
evt_000068,device_065,edge_device,2026-06-01 15:04:53,10.148.49.184,"Singapore, SG",1.3521,103.8198,sensor_stream,certificate,success,117,device_connect > telemetry_send > heartbeat,EdgeOS-3.2|HTTPS|device,397036,HTTPS,normal,0,none,Expected behavioural baseline
evt_000069,user_005,user,2026-06-01 15:19:28,10.217.88.155,"Mumbai, IN",19.076,72.8777,employee_portal,token,success,31,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,74471,HTTPS,normal,0,none,Expected behavioural baseline
evt_000070,device_058,edge_device,2026-06-01 15:30:26,10.1.133.237,"Bengaluru, IN",12.9716,77.5946,sensor_stream,certificate,success,133,device_connect > telemetry_send > heartbeat,EdgeOS-3.2|HTTPS|device,382547,HTTPS,normal,0,none,Expected behavioural baseline
evt_000071,user_004,user,2026-06-01 15:49:36,10.40.55.246,"New York, US",40.7128,-74.006,email,password,success,151,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,223411,HTTPS,normal,0,none,Expected behavioural baseline
evt_000072,device_062,edge_device,2026-06-01 16:07:56,10.156.167.83,"Singapore, SG",1.3521,103.8198,device_health,certificate,success,164,device_connect > telemetry_send > heartbeat,IoT-Linux-5.10|MQTT|device,143847,HTTPS,normal,0,none,Expected behavioural baseline
evt_000073,user_045,user,2026-06-01 16:18:16,10.109.212.71,"Mumbai, IN",19.076,72.8777,analytics_dashboard,token,success,148,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,356458,HTTPS,normal,0,none,Expected behavioural baseline
evt_000074,svc_051,service_account,2026-06-01 16:34:14,10.7.45.189,"Delhi, IN",28.6139,77.209,telemetry_queue,token,success,106,token_auth > api_read > api_write > logout,Linux-Server|service-agent,401483,HTTPS,normal,0,none,Expected behavioural baseline
evt_000075,device_057,edge_device,2026-06-01 16:35:57,10.156.130.30,"New York, US",40.7128,-74.006,telemetry_endpoint,certificate,success,75,device_connect > telemetry_send > heartbeat,EdgeOS-3.2|HTTPS|device,305857,HTTPS,normal,0,none,Expected behavioural baseline
evt_000076,user_039,user,2026-06-01 16:56:02,10.166.76.118,"Delhi, IN",28.6139,77.209,crm,password,success,83,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,200299,HTTPS,normal,0,none,Expected behavioural baseline
evt_000077,user_045,user,2026-06-01 16:57:48,10.109.212.71,"Mumbai, IN",19.076,72.8777,email,token,success,38,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,37088,HTTPS,normal,0,none,Expected behavioural baseline
evt_000078,user_017,user,2026-06-01 17:04:17,10.88.28.76,"London, UK",51.5072,-0.1276,crm,token,success,126,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,66310,HTTPS,normal,0,none,Expected behavioural baseline
evt_000079,user_044,user,2026-06-01 17:10:29,10.163.218.68,"Hyderabad, IN",17.385,78.4867,analytics_dashboard,password,success,48,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,207029,HTTPS,normal,0,none,Expected behavioural baseline
evt_000080,device_061,edge_device,2026-06-01 17:12:01,10.146.77.104,"Delhi, IN",28.6139,77.209,firmware_status,certificate,success,49,device_connect > telemetry_send > heartbeat,EdgeOS-3.2|HTTPS|device,479322,HTTPS,normal,0,none,Expected behavioural baseline
evt_000081,svc_048,service_account,2026-06-01 17:13:27,10.142.37.111,"New York, US",40.7128,-74.006,database_read,token,failure,0,token_auth > api_read > api_write > logout,Linux-Server|service-agent,143043,HTTPS,normal,0,none,Expected behavioural baseline
evt_000082,user_037,user,2026-06-01 17:16:40,10.153.10.159,"Hyderabad, IN",17.385,78.4867,employee_portal,token,success,169,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,98032,HTTPS,normal,0,none,Expected behavioural baseline
evt_000083,user_037,user,2026-06-01 17:36:01,10.153.10.159,"Hyderabad, IN",17.385,78.4867,employee_portal,token,success,54,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,95213,HTTPS,normal,0,none,Expected behavioural baseline
evt_000084,user_043,user,2026-06-01 17:40:48,10.40.69.73,"Mumbai, IN",19.076,72.8777,project_share,token,success,135,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,137790,HTTPS,normal,0,none,Expected behavioural baseline
evt_000085,user_017,user,2026-06-01 17:45:51,10.88.28.76,"London, UK",51.5072,-0.1276,crm,password,success,26,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,182368,HTTPS,normal,0,none,Expected behavioural baseline
evt_000086,device_056,edge_device,2026-06-01 17:47:06,10.247.67.10,"Delhi, IN",28.6139,77.209,device_health,certificate,success,30,device_connect > telemetry_send > heartbeat,EdgeOS-3.2|HTTPS|device,174295,HTTPS,normal,0,none,Expected behavioural baseline
evt_000087,user_037,user,2026-06-01 17:49:39,10.153.10.159,"Hyderabad, IN",17.385,78.4867,employee_portal,password,success,37,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,38824,HTTPS,normal,0,none,Expected behavioural baseline
evt_000088,user_043,user,2026-06-01 17:51:22,10.40.69.73,"Mumbai, IN",19.076,72.8777,employee_portal,password,success,145,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,8208,HTTPS,normal,0,none,Expected behavioural baseline
evt_000089,device_056,edge_device,2026-06-01 17:51:46,10.247.67.10,"Delhi, IN",28.6139,77.209,device_health,certificate,success,78,device_connect > telemetry_send > heartbeat,EdgeOS-3.2|HTTPS|device,353356,HTTPS,normal,0,none,Expected behavioural baseline
evt_000090,user_031,user,2026-06-01 17:55:28,10.139.214.4,"Bengaluru, IN",12.9716,77.5946,employee_portal,password,success,159,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,282115,HTTPS,normal,0,none,Expected behavioural baseline
evt_000091,user_042,user,2026-06-01 17:57:44,10.210.141.77,"Bengaluru, IN",12.9716,77.5946,analytics_dashboard,token,success,115,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,475226,HTTPS,normal,0,none,Expected behavioural baseline
evt_000092,user_043,user,2026-06-01 17:58:14,10.40.69.73,"Mumbai, IN",19.076,72.8777,project_share,password,success,17,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,10097,HTTPS,normal,0,none,Expected behavioural baseline
evt_000093,user_044,user,2026-06-01 18:01:34,10.163.218.68,"Hyderabad, IN",17.385,78.4867,crm,password,success,131,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,497907,HTTPS,normal,0,none,Expected behavioural baseline
evt_000094,user_042,user,2026-06-01 18:12:46,10.210.141.77,"Bengaluru, IN",12.9716,77.5946,analytics_dashboard,token,success,108,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,485247,HTTPS,normal,0,none,Expected behavioural baseline
evt_000095,user_037,user,2026-06-01 18:27:44,10.153.10.159,"Hyderabad, IN",17.385,78.4867,project_share,token,success,120,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,296654,HTTPS,normal,0,none,Expected behavioural baseline
evt_000096,user_018,user,2026-06-01 18:28:43,10.196.45.130,"London, UK",51.5072,-0.1276,project_share,token,success,101,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,438830,HTTPS,normal,0,none,Expected behavioural baseline
evt_000097,user_018,user,2026-06-01 18:35:07,10.196.45.130,"London, UK",51.5072,-0.1276,project_share,token,success,117,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,106923,HTTPS,normal,0,none,Expected behavioural baseline
evt_000098,svc_048,service_account,2026-06-01 18:39:58,10.142.37.111,"New York, US",40.7128,-74.006,database_read,certificate,success,54,token_auth > api_read > api_write > logout,Linux-Server|service-agent,273776,HTTPS,normal,0,none,Expected behavioural baseline
evt_000099,user_044,user,2026-06-01 18:41:10,10.163.218.68,"Hyderabad, IN",17.385,78.4867,crm,password,success,111,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,362897,HTTPS,normal,0,none,Expected behavioural baseline
evt_000100,device_065,edge_device,2026-06-01 19:05:42,10.148.49.184,"Singapore, SG",1.3521,103.8198,telemetry_endpoint,certificate,success,160,device_connect > telemetry_send > heartbeat,EdgeOS-3.2|HTTPS|device,269698,HTTPS,normal,0,none,Expected behavioural baseline
evt_000101,device_062,edge_device,2026-06-01 19:18:43,10.156.167.83,"Singapore, SG",1.3521,103.8198,telemetry_endpoint,certificate,success,122,device_connect > telemetry_send > heartbeat,IoT-Linux-5.10|MQTT|device,223154,HTTPS,normal,0,none,Expected behavioural baseline
evt_000102,svc_046,service_account,2026-06-01 19:36:59,10.68.41.190,"Delhi, IN",28.6139,77.209,database_read,certificate,success,118,token_auth > api_read > api_write > logout,Linux-Server|service-agent,339643,HTTPS,normal,0,none,Expected behavioural baseline
evt_000103,user_009,user,2026-06-01 19:49:37,10.69.179.240,"Hyderabad, IN",17.385,78.4867,crm,password,success,146,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,141638,HTTPS,normal,0,none,Expected behavioural baseline
evt_000104,user_017,user,2026-06-01 20:12:07,10.88.28.76,"London, UK",51.5072,-0.1276,employee_portal,password,success,11,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,114696,HTTPS,normal,0,none,Expected behavioural baseline
evt_000105,user_031,user,2026-06-01 20:31:06,10.139.214.4,"Bengaluru, IN",12.9716,77.5946,project_share,token,success,161,login > open_dashboard > read_resource > logout,Windows-11|Chrome|managed,208847,HTTPS,normal,0,none,Expected behavioural baseline
evt_000106,svc_049,service_account,2026-06-02 06:04:31,10.231.91.54,"New York, US",40.7128,-74.006,api_gateway,certificate,success,39,token_auth > api_read > api_write > logout,Linux-Server|service-agent,250140,HTTPS,normal,0,none,Expected behavioural baseline
evt_000107,user_035,user,2026-06-02 06:12:50,10.150.122.129,"Bengaluru, IN",12.9716,77.5946,employee_portal,token,success,130,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,61381,HTTPS,normal,0,none,Expected behavioural baseline
evt_000108,svc_054,service_account,2026-06-02 07:00:15,10.169.49.103,"Hyderabad, IN",17.385,78.4867,database_read,token,success,112,token_auth > api_read > api_write > logout,Linux-Server|service-agent,445588,HTTPS,normal,0,none,Expected behavioural baseline
evt_000109,user_040,user,2026-06-02 07:05:27,10.138.54.130,"Mumbai, IN",19.076,72.8777,employee_portal,password,success,110,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,124643,HTTPS,normal,0,none,Expected behavioural baseline
evt_000110,user_002,user,2026-06-02 07:30:54,10.24.55.60,"Bengaluru, IN",12.9716,77.5946,employee_portal,token,success,180,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,61603,HTTPS,normal,0,none,Expected behavioural baseline
evt_000111,device_063,edge_device,2026-06-02 07:35:58,10.169.21.73,"Tokyo, JP",35.6762,139.65,device_health,certificate,success,131,device_connect > telemetry_send > heartbeat,IoT-Linux-5.10|MQTT|device,143918,HTTPS,normal,0,none,Expected behavioural baseline
evt_000112,user_035,user,2026-06-02 07:37:19,10.150.122.129,"Bengaluru, IN",12.9716,77.5946,analytics_dashboard,password,failure,0,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,437049,HTTPS,normal,0,none,Expected behavioural baseline
